证券代码,证券简称,细分行业,Unnamed: 3,一级行业,细分行业.1
601778.SH,晶科科技,光伏发电,,,
002171.SZ,楚江新材,铜,,,
301292.SZ,海科新源,电池化学品,,,
600206.SH,有研新材,半导体材料,,,
688362.SH,甬矽电子,集成电路封测,,,
600072.SH,中船科技,风电零部件,,,
600666.SH,奥瑞德,面板,,,
603613.SH,国联股份,综合电商,,,
300814.SZ,中富电路,印制电路板,,,
688279.SH,峰岹科技,数字芯片设计,,,
603026.SH,石大胜华,电池化学品,,,
001213.SZ,中铁特货,铁路运输,,,
002364.SZ,中恒电气,其他电源设备Ⅲ,,,
600490.SH,鹏欣资源,铜,,,
688800.SH,瑞可达,其他电子Ⅲ,,,
688432.SH,有研硅,半导体材料,,,
300436.SZ,广生堂,化学制剂,,,
002544.SZ,普天科技,通信工程及服务,,,
002176.SZ,江特电机,电机Ⅲ,,,
000901.SZ,航天科技,汽车电子电气系统,,,
600655.SH,豫园股份,商业物业经营,,,
688368.SH,晶丰明源,模拟芯片设计,,,
000905.SZ,厦门港务,港口,,,
600528.SH,中铁工业,轨交设备Ⅲ,,,
301285.SZ,鸿日达,消费电子零部件及组装,,,
601137.SH,博威合金,其他金属新材料,,,
002413.SZ,雷科防务,军工电子Ⅲ,,,
601369.SH,陕鼓动力,能源及重型设备,,,
688772.SH,珠海冠宇,锂电池,,,
600651.SH,飞乐音响,汽车电子电气系统,,,
301275.SZ,汉朔科技,其他电子Ⅲ,,,
603663.SH,三祥新材,无机盐,,,
301316.SZ,慧博云通,IT服务Ⅲ,,,
600452.SH,涪陵电力,电能综合服务,,,
001369.SZ,双欣材料,其他化学纤维,,,
601858.SH,中国科传,大众出版,,,
600933.SH,爱柯迪,底盘与发动机系统,,,
601921.SH,浙版传媒,教育出版,,,
603132.SH,金徽股份,铅锌,,,
688380.SH,中微半导,数字芯片设计,,,
600110.SH,诺德股份,锂电池,,,
002568.SZ,百润股份,其他酒类,,,
300457.SZ,赢合科技,锂电专用设备,,,
605118.SH,力鼎光电,安防设备,,,
688717.SH,艾罗能源,逆变器,,,
000069.SZ,华侨城A,商业地产,,,
002901.SZ,大博医疗,医疗耗材,,,
688700.SH,东威科技,其他专用设备,,,
300726.SZ,宏达电子,军工电子Ⅲ,,,
688123.SH,聚辰股份,数字芯片设计,,,
000680.SZ,山推股份,工程机械整机,,,
601609.SH,金田股份,铜,,,
605599.SH,菜百股份,钟表珠宝,,,
000410.SZ,沈阳机床,机床工具,,,
002092.SZ,中泰化学,氯碱,,,
605099.SH,共创草坪,其他家居用品,,,
688545.SH,兴福电子,电子化学品Ⅲ,,,
300761.SZ,立华股份,肉鸡养殖,,,
603858.SH,步长制药,中药Ⅲ,,,
300065.SZ,海兰信,航海装备Ⅲ,,,
000065.SZ,北方国际,国际工程,,,
000422.SZ,湖北宜化,氮肥,,,
002759.SZ,天际股份,电池化学品,,,
600739.SH,辽宁成大,疫苗,,,
002145.SZ,钛能化学,钛白粉,,,
603826.SH,坤彩科技,非金属材料Ⅲ,,,
301039.SZ,中集车辆,商用载货车,,,
688652.SH,京仪装备,半导体设备,,,
603009.SH,北特科技,底盘与发动机系统,,,
301338.SZ,凯格精机,其他专用设备,,,
000563.SZ,陕国投A,信托,,,
601965.SH,中国汽研,汽车综合服务,,,
603305.SH,旭升集团,底盘与发动机系统,,,
603698.SH,航天工程,能源及重型设备,,,
300100.SZ,双林股份,车身附件及饰件,,,
688660.SH,电气风电,风电整机,,,
300455.SZ,航天智装,其他计算机设备,,,
601636.SH,旗滨集团,玻璃制造,,,
300446.SZ,航天智造,车身附件及饰件,,,
002539.SZ,云图控股,复合肥,,,
688759.SH,必贝特-U,化学制剂,,,
300682.SZ,朗新科技,IT服务Ⅲ,,,
301658.SZ,首航新能,逆变器,,,
603124.SH,江南新材,其他金属新材料,,,
600710.SH,苏美达,贸易Ⅲ,,,
601568.SH,北元集团,氯碱,,,
002324.SZ,普利特,改性塑料,,,
002385.SZ,大北农,畜禽饲料,,,
688006.SH,杭可科技,锂电专用设备,,,
601107.SH,四川成渝,高速公路,,,
601083.SH,锦江航运,航运,,,
300850.SZ,新强联,风电零部件,,,
688063.SH,派能科技,锂电池,,,
301128.SZ,强瑞技术,其他专用设备,,,
600764.SH,中国海防,航海装备Ⅲ,,,
002372.SZ,伟星新材,管材,,,
600750.SH,华润江中,中药Ⅲ,,,
600258.SH,首旅酒店,酒店,,,
600201.SH,生物股份,动物保健Ⅲ,,,
688712.SH,北芯生命-U,医疗耗材,,,
300735.SZ,光弘科技,消费电子零部件及组装,,,
002947.SZ,恒铭达,消费电子零部件及组装,,,
603638.SH,艾迪精密,工程机械器件,,,
300573.SZ,兴齐眼药,化学制剂,,,
603556.SH,海兴电力,电工仪器仪表,,,
002779.SZ,中坚科技,其他专用设备,,,
300676.SZ,华大基因,诊断服务,,,
600773.SH,西藏城投,住宅开发,,,
002290.SZ,禾盛新材,家电零部件Ⅲ,,,
002958.SZ,青农商行,农商行Ⅲ,,,
688031.SH,星环科技-U,横向通用软件,,,
301291.SZ,明阳电气,配电设备,,,
002399.SZ,海普瑞,化学制剂,,,
688185.SH,康希诺,疫苗,,,
603619.SH,中曼石油,油田服务,,,
600531.SH,豫光金铅,铅锌,,,
002936.SZ,郑州银行,城商行Ⅲ,,,
002416.SZ,爱施德,专业连锁Ⅲ,,,
300503.SZ,昊志机电,其他通用设备,,,
000682.SZ,东方电子,电网自动化设备,,,
600589.SH,大位科技,IT服务Ⅲ,,,
300009.SZ,安科生物,其他生物制品,,,
600022.SH,山东钢铁,板材,,,
002396.SZ,星网锐捷,通信网络设备及器件,,,
603358.SH,华达科技,其他汽车零部件,,,
600475.SH,华光环能,热力服务,,,
603991.SH,至正股份,半导体设备,,,
300777.SZ,中简科技,航空装备Ⅲ,,,
600345.SH,长江通信,其他通信设备,,,
600456.SH,宝钛股份,其他小金属,,,
000620.SZ,盈新发展,住宅开发,,,
300323.SZ,华灿光电,LED,,,
300723.SZ,一品红,化学制剂,,,
600056.SH,中国医药,医药流通,,,
001331.SZ,胜通能源,燃气Ⅲ,,,
002607.SZ,中公教育,培训教育,,,
000600.SZ,建投能源,火力发电,,,
603997.SH,继峰股份,车身附件及饰件,,,
300855.SZ,图南股份,其他金属新材料,,,
300821.SZ,东岳硅材,有机硅,,,
600596.SH,新安股份,农药,,,
001339.SZ,智微智能,其他计算机设备,,,
688088.SH,虹软科技,IT服务Ⅲ,,,
600338.SH,西藏珠峰,铅锌,,,
002182.SZ,宝武镁业,其他小金属,,,
301216.SZ,万凯新材,其他塑料制品,,,
000762.SZ,西藏矿业,锂,,,
600720.SH,中交设计,工程咨询服务Ⅲ,,,
300655.SZ,晶瑞电材,电子化学品Ⅲ,,,
000685.SZ,中山公用,水务及水治理,,,
300468.SZ,四方精创,垂直应用软件,,,
002639.SZ,雪人集团,制冷空调设备,,,
002922.SZ,伊戈尔,其他电子Ⅲ,,,
000035.SZ,中国天楹,固废治理,,,
002010.SZ,传化智联,公路货运,,,
600821.SH,金开新能,光伏发电,,,
002946.SZ,新乳业,乳品,,,
300139.SZ,晓程科技,黄金,,,
605111.SH,新洁能,分立器件,,,
300957.SZ,贝泰妮,品牌化妆品,,,
600633.SH,浙数文化,游戏Ⅲ,,,
300229.SZ,拓尔思,垂直应用软件,,,
002913.SZ,奥士康,印制电路板,,,
600635.SH,大众公用,燃气Ⅲ,,,
600928.SH,西安银行,城商行Ⅲ,,,
603707.SH,健友股份,化学制剂,,,
002957.SZ,科瑞技术,工控设备,,,
002317.SZ,众生药业,中药Ⅲ,,,
002703.SZ,浙江世宝,底盘与发动机系统,,,
600779.SH,水井坊,白酒Ⅲ,,,
000550.SZ,江铃汽车,商用载货车,,,
600500.SH,中化国际,其他化学制品,,,
688798.SH,艾为电子,模拟芯片设计,,,
002019.SZ,亿帆医药,化学制剂,,,
002847.SZ,盐津铺子,零食,,,
603733.SH,仙鹤股份,特种纸,,,
002690.SZ,美亚光电,其他专用设备,,,
688567.SH,孚能科技,锂电池,,,
002906.SZ,华阳集团,汽车电子电气系统,,,
002978.SZ,安宁股份,其他小金属,,,
301183.SZ,东田微,光学元件,,,
600675.SH,中华企业,住宅开发,,,
688308.SH,欧科亿,金属制品,,,
603185.SH,弘元绿能,硅料硅片,,,
301029.SZ,怡合达,其他自动化设备,,,
300182.SZ,捷成股份,影视动漫制作,,,
002361.SZ,神剑股份,合成树脂,,,
600361.SH,创新新材,铝,,,
300684.SZ,中石科技,电子化学品Ⅲ,,,
002439.SZ,启明星辰,横向通用软件,,,
603355.SH,莱克电气,清洁小家电,,,
603014.SH,威高血净,医疗耗材,,,
603601.SH,再升科技,玻纤制造,,,
600216.SH,浙江医药,原料药,,,
600916.SH,中国黄金,钟表珠宝,,,
300601.SZ,康泰生物,疫苗,,,
600761.SH,安徽合力,工程机械整机,,,
301061.SZ,匠心家居,成品家居,,,
603025.SH,大豪科技,工控设备,,,
600271.SH,航天信息,IT服务Ⅲ,,,
600986.SH,浙文互联,营销代理,,,
600783.SH,鲁信创投,磨具磨料,,,
300088.SZ,长信科技,面板,,,
300398.SZ,飞凯材料,电子化学品Ⅲ,,,
603202.SH,天有为,汽车电子电气系统,,,
301389.SZ,隆扬电子,消费电子零部件及组装,,,
002925.SZ,盈趣科技,消费电子零部件及组装,,,
600226.SH,亨通股份,热力服务,,,
688131.SH,皓元医药,医疗研发外包,,,
688484.SH,南芯科技,模拟芯片设计,,,
603662.SH,柯力传感,仪器仪表,,,
300035.SZ,中科电气,电池化学品,,,
601096.SH,宏盛华源,钢结构,,,
600459.SH,贵研铂业,其他小金属,,,
603456.SH,九洲药业,医疗研发外包,,,
301123.SZ,奕东电子,消费电子零部件及组装,,,
603678.SH,火炬电子,军工电子Ⅲ,,,
002929.SZ,润建股份,通信工程及服务,,,
301589.SZ,诺瓦星云,其他计算机设备,,,
688062.SH,迈威生物-U,化学制剂,,,
300049.SZ,福瑞医科,医疗设备,,,
300077.SZ,国民技术,数字芯片设计,,,
300693.SZ,盛弘股份,其他电源设备Ⅲ,,,
601619.SH,嘉泽新能,风力发电,,,
000966.SZ,长源电力,火力发电,,,
603906.SH,龙蟠科技,电池化学品,,,
600827.SH,百联股份,多业态零售,,,
600268.SH,国电南自,电网自动化设备,,,
300910.SZ,瑞丰新材,其他化学制品,,,
688352.SH,颀中科技,集成电路封测,,,
688028.SH,沃尔德,磨具磨料,,,
002139.SZ,拓邦股份,消费电子零部件及组装,,,
300846.SZ,首都在线,IT服务Ⅲ,,,
002373.SZ,千方科技,IT服务Ⅲ,,,
688332.SH,中科蓝讯,数字芯片设计,,,
600872.SH,中炬高新,调味发酵品Ⅲ,,,
603063.SH,禾望电气,风电零部件,,,
600409.SH,三友化工,纯碱,,,
002643.SZ,万润股份,电子化学品Ⅲ,,,
002931.SZ,锋龙股份,金属制品,,,
603505.SH,金石资源,氟化工,,,
002342.SZ,巨力索具,金属制品,,,
002400.SZ,省广集团,营销代理,,,
301489.SZ,思泉新材,电子化学品Ⅲ,,,
000785.SZ,居然智家,商业物业经营,,,
300903.SZ,科翔股份,印制电路板,,,
688392.SH,骄成超声,锂电专用设备,,,
000612.SZ,焦作万方,铝,,,
002366.SZ,融发核电,其他电源设备Ⅲ,,,
002181.SZ,粤传媒,大众出版,,,
600063.SH,皖维高新,其他化学纤维,,,
605296.SH,神农集团,生猪养殖,,,
688403.SH,汇成股份,集成电路封测,,,
002183.SZ,怡亚通,贸易Ⅲ,,,
000553.SZ,安道麦A,农药,,,
600702.SH,舍得酒业,白酒Ⅲ,,,
002091.SZ,江苏国泰,贸易Ⅲ,,,
600744.SH,华银电力,火力发电,,,
600618.SH,氯碱化工,氯碱,,,
688593.SH,新相微,数字芯片设计,,,
000552.SZ,甘肃能化,动力煤,,,
600621.SH,华鑫股份,证券Ⅲ,,,
002541.SZ,鸿路钢构,钢结构,,,
603589.SH,口子窖,白酒Ⅲ,,,
603393.SH,新天然气,燃气Ⅲ,,,
301678.SZ,新恒汇,半导体材料,,,
002250.SZ,联化科技,农药,,,
600397.SH,江钨装备,动力煤,,,
300131.SZ,英唐智控,其他电子Ⅲ,,,
301363.SZ,美好医疗,医疗设备,,,
000656.SZ,*ST金科,住宅开发,,,
000555.SZ,神州信息,IT服务Ⅲ,,,
000970.SZ,中科三环,磁性材料,,,
300034.SZ,钢研高纳,航空装备Ⅲ,,,
600167.SH,联美控股,热力服务,,,
300428.SZ,立中集团,轮胎轮毂,,,
603950.SH,长源东谷,底盘与发动机系统,,,
688153.SH,唯捷创芯,模拟芯片设计,,,
000028.SZ,国药一致,医药流通,,,
300303.SZ,聚飞光电,LED,,,
603220.SH,中贝通信,通信工程及服务,,,
002768.SZ,国恩股份,改性塑料,,,
300459.SZ,汤姆猫,游戏Ⅲ,,,
301093.SZ,华兰股份,医疗耗材,,,
603992.SH,松霖科技,卫浴制品,,,
920116.BJ,星图测控,IT服务Ⅲ,,,
002096.SZ,易普力,民爆制品,,,
301267.SZ,华厦眼科,医院,,,
300376.SZ,易事特,其他电源设备Ⅲ,,,
300657.SZ,弘信电子,印制电路板,,,
002563.SZ,森马服饰,非运动服装,,,
000998.SZ,隆平高科,种子,,,
002226.SZ,江南化工,民爆制品,,,
688029.SH,南微医学,医疗耗材,,,
301392.SZ,汇成真空,其他专用设备,,,
603515.SH,欧普照明,照明设备Ⅲ,,,
300045.SZ,华力创通,军工电子Ⅲ,,,
001308.SZ,康冠科技,面板,,,
002755.SZ,奥赛康,化学制剂,,,
600064.SH,南京高科,住宅开发,,,
605507.SH,国邦医药,原料药,,,
688698.SH,伟创电气,工控设备,,,
688275.SH,万润新能,电池化学品,,,
002309.SZ,中利集团,线缆部件及其他,,,
000061.SZ,农产品,商业物业经营,,,
603218.SH,日月股份,风电零部件,,,
688055.SH,龙腾光电,面板,,,
688543.SH,国科军工,地面兵装Ⅲ,,,
603103.SH,横店影视,院线,,,
301238.SZ,瑞泰新材,电池化学品,,,
300674.SZ,宇信科技,IT服务Ⅲ,,,
000681.SZ,视觉中国,图片媒体,,,
920808.BJ,曙光数创,其他计算机设备,,,
301312.SZ,智立方,其他自动化设备,,,
301362.SZ,民爆光电,照明设备Ⅲ,,,
688116.SH,天奈科技,电池化学品,,,
002051.SZ,中工国际,国际工程,,,
002060.SZ,广东建工,电能综合服务,,,
002276.SZ,万马股份,线缆部件及其他,,,
002534.SZ,西子洁能,火电设备,,,
002987.SZ,京北方,垂直应用软件,,,
002507.SZ,涪陵榨菜,调味发酵品Ⅲ,,,
603226.SH,菲林格尔,瓷砖地板,,,
301155.SZ,海力风电,风电零部件,,,
300766.SZ,每日互动,横向通用软件,,,
300975.SZ,商络电子,被动元件,,,
002896.SZ,中大力德,金属制品,,,
601038.SH,一拖股份,农用机械,,,
301031.SZ,中熔电气,其他电子Ⅲ,,,
688206.SH,概伦电子,垂直应用软件,,,
300070.SZ,碧水源,水务及水治理,,,
601952.SH,苏垦农发,粮食种植,,,
000089.SZ,深圳机场,机场,,,
688032.SH,禾迈股份,逆变器,,,
002268.SZ,电科网安,其他计算机设备,,,
300990.SZ,同飞股份,制冷空调设备,,,
603317.SH,天味食品,调味发酵品Ⅲ,,,
300007.SZ,汉威科技,仪器仪表,,,
000719.SZ,中原传媒,大众出版,,,
301095.SZ,广立微,垂直应用软件,,,
600648.SH,外高桥,产业地产,,,
000815.SZ,美利云,IT服务Ⅲ,,,
002617.SZ,露笑科技,光伏发电,,,
000156.SZ,华数传媒,电视广播Ⅲ,,,
002993.SZ,奥海科技,消费电子零部件及组装,,,
002975.SZ,博杰股份,工控设备,,,
000801.SZ,四川九洲,其他黑色家电,,,
600420.SH,国药现代,化学制剂,,,
300529.SZ,健帆生物,医疗耗材,,,
002698.SZ,博实股份,机器人,,,
000917.SZ,电广传媒,电视广播Ⅲ,,,
300133.SZ,华策影视,影视动漫制作,,,
001359.SZ,平安电工,膜材料,,,
688326.SH,经纬恒润-W,垂直应用软件,,,
301293.SZ,三博脑科,医院,,,
301500.SZ,飞南资源,固废治理,,,
920068.BJ,天工股份,其他小金属,,,
688106.SH,金宏气体,电子化学品Ⅲ,,,
603248.SH,锡华科技,风电零部件,,,
605198.SH,安德利,果蔬加工,,,
000697.SZ,ST炼石,航空装备Ⅲ,,,
000799.SZ,酒鬼酒,白酒Ⅲ,,,
300204.SZ,舒泰神,化学制剂,,,
000810.SZ,创维数字,其他黑色家电,,,
603927.SH,中科软,垂直应用软件,,,
600315.SH,上海家化,品牌化妆品,,,
301682.SZ,宏明电子,军工电子Ⅲ,,,
300129.SZ,泰胜风能,风电零部件,,,
002020.SZ,京新药业,化学制剂,,,
600155.SH,华创云信,证券Ⅲ,,,
300357.SZ,我武生物,其他生物制品,,,
300224.SZ,正海磁材,磁性材料,,,
603868.SH,飞科电器,个护小家电,,,
600366.SH,宁波韵升,磁性材料,,,
600403.SH,大有能源,动力煤,,,
300469.SZ,信息发展,垂直应用软件,,,
600211.SH,西藏药业,其他生物制品,,,
600755.SH,厦门国贸,原材料供应链服务,,,
002440.SZ,闰土股份,纺织化学制品,,,
600859.SH,王府井,百货,,,
603162.SH,海通发展,航运,,,
603406.SH,天富龙,涤纶,,,
688003.SH,天准科技,其他自动化设备,,,
600850.SH,电科数字,IT服务Ⅲ,,,
002597.SZ,金禾实业,食品及饲料添加剂,,,
600864.SH,哈投股份,证券Ⅲ,,,
688258.SH,卓易信息,IT服务Ⅲ,,,
603031.SH,安孚科技,蓄电池及其他电池,,,
000012.SZ,南玻A,玻璃制造,,,
301196.SZ,唯科科技,其他塑料制品,,,
688321.SH,微芯生物,化学制剂,,,
688549.SH,中巨芯-U,电子化学品Ⅲ,,,
603626.SH,科森科技,消费电子零部件及组装,,,
000990.SZ,诚志股份,煤化工,,,
600389.SH,江山股份,农药,,,
300624.SZ,万兴科技,横向通用软件,,,
688790.SH,昂瑞微-UW,模拟芯片设计,,,
300772.SZ,运达股份,风电整机,,,
000758.SZ,中色股份,铅锌,,,
002031.SZ,巨轮智能,其他专用设备,,,
603888.SH,新华网,门户网站,,,
600186.SH,莲花控股,调味发酵品Ⅲ,,,
300969.SZ,恒帅股份,其他汽车零部件,,,
002549.SZ,凯美特气,其他化学制品,,,
603599.SH,广信股份,农药,,,
300377.SZ,赢时胜,垂直应用软件,,,
301150.SZ,中一科技,锂电池,,,
002645.SZ,华宏科技,环保设备Ⅲ,,,
688327.SH,云从科技-UW,IT服务Ⅲ,,,
600645.SH,中源协和,体外诊断,,,
600481.SH,双良节能,硅料硅片,,,
300184.SZ,力源信息,其他电子Ⅲ,,,
603300.SH,海南华铁,租赁,,,
002246.SZ,北化股份,民爆制品,,,
600391.SH,航发科技,航空装备Ⅲ,,,
301232.SZ,飞沃科技,风电零部件,,,
601827.SH,三峰环境,固废治理,,,
688612.SH,威迈斯,汽车电子电气系统,,,
300593.SZ,新雷能,其他电源设备Ⅲ,,,
601512.SH,中新集团,产业地产,,,
002287.SZ,奇正藏药,中药Ⅲ,,,
603194.SH,中力股份,工程机械整机,,,
603376.SH,大明电子,汽车电子电气系统,,,
603281.SH,江瀚新材,有机硅,,,
300618.SZ,寒锐钴业,钴,,,
603196.SH,璞源材料,非运动服装,,,
688198.SH,佰仁医疗,医疗耗材,,,
300130.SZ,新国都,其他计算机设备,,,
688559.SH,海目星,激光设备,,,
000099.SZ,中信海直,航空运输,,,
601718.SH,际华集团,非运动服装,,,
600717.SH,天津港,港口,,,
002204.SZ,大连重工,能源及重型设备,,,
601033.SH,永兴股份,固废治理,,,
300315.SZ,掌趣科技,游戏Ⅲ,,,
301306.SZ,西测测试,军工电子Ⅲ,,,
688584.SH,上海合晶,半导体材料,,,
601133.SH,柏诚股份,其他专业工程,,,
002701.SZ,奥瑞金,金属包装,,,
002967.SZ,广电计量,检测服务,,,
002838.SZ,道恩股份,改性塑料,,,
300185.SZ,通裕重工,风电零部件,,,
603169.SH,兰石重装,能源及重型设备,,,
000672.SZ,上峰水泥,水泥制造,,,
600888.SH,新疆众和,铝,,,
002897.SZ,意华股份,通信网络设备及器件,,,
300008.SZ,天海防务,航海装备Ⅲ,,,
603612.SH,索通发展,非金属材料Ⅲ,,,
301086.SZ,鸿富瀚,消费电子零部件及组装,,,
605060.SH,联德股份,其他通用设备,,,
000761.SZ,本钢板材,板材,,,
600654.SH,中安科,垂直应用软件,,,
002713.SZ,*ST东易,装修装饰Ⅲ,,,
000908.SZ,ST景峰,化学制剂,,,
605255.SH,天普股份,底盘与发动机系统,,,
600328.SH,中盐化工,无机盐,,,
002170.SZ,芭田股份,复合肥,,,
600248.SH,陕建股份,房屋建设Ⅲ,,,
002745.SZ,木林森,LED,,,
300576.SZ,容大感光,电子化学品Ⅲ,,,
300005.SZ,探路者,运动服装,,,
002796.SZ,世嘉科技,通信网络设备及器件,,,
000727.SZ,冠捷科技,面板,,,
601801.SH,皖新传媒,大众出版,,,
002867.SZ,周大生,钟表珠宝,,,
002315.SZ,焦点科技,跨境电商,,,
600326.SH,西藏天路,水泥制造,,,
001227.SZ,兰州银行,城商行Ⅲ,,,
300720.SZ,海川智能,仪器仪表,,,
603328.SH,依顿电子,印制电路板,,,
600507.SH,方大特钢,特钢Ⅲ,,,
000869.SZ,张裕A,其他酒类,,,
688233.SH,神工股份,半导体材料,,,
603027.SH,千禾味业,调味发酵品Ⅲ,,,
603583.SH,捷昌驱动,工控设备,,,
688605.SH,先锋精科,半导体设备,,,
000880.SZ,潍柴重机,底盘与发动机系统,,,
000401.SZ,金隅冀东,水泥制造,,,
002121.SZ,科陆电子,电工仪器仪表,,,
603093.SH,南华期货,期货,,,
603002.SH,宏昌电子,电子化学品Ⅲ,,,
000839.SZ,国安股份,通信应用增值服务,,,
002221.SZ,东华能源,其他石化,,,
688661.SH,和林微纳,半导体材料,,,
603283.SH,赛腾股份,工控设备,,,
300595.SZ,欧普康视,医疗耗材,,,
688513.SH,苑东生物,化学制剂,,,
000949.SZ,新乡化纤,粘胶,,,
300900.SZ,广联航空,航空装备Ⅲ,,,
002158.SZ,汉钟精机,制冷空调设备,,,
688552.SH,航天南湖,军工电子Ⅲ,,,
002011.SZ,盾安环境,家电零部件Ⅲ,,,
300083.SZ,创世纪,工控设备,,,
600841.SH,动力新科,底盘与发动机系统,,,
000930.SZ,中粮科技,其他农产品加工,,,
000899.SZ,赣能股份,火力发电,,,
300010.SZ,豆神教育,教育运营及其他,,,
600006.SH,东风股份,商用载货车,,,
301015.SZ,百洋医药,医药流通,,,
301571.SZ,国科天成,军工电子Ⅲ,,,
603052.SH,可川科技,消费电子零部件及组装,,,
688382.SH,益方生物-U,化学制剂,,,
688789.SH,宏华数科,纺织服装设备,,,
688016.SH,心脉医疗,医疗耗材,,,
600285.SH,羚锐制药,中药Ⅲ,,,
002024.SZ,ST易购,综合电商,,,
300191.SZ,潜能恒信,油气及炼化工程,,,
601005.SH,重庆钢铁,板材,,,
603712.SH,七一二,军工电子Ⅲ,,,
000031.SZ,大悦城,商业地产,,,
002471.SZ,中超控股,线缆部件及其他,,,
300053.SZ,航宇微,数字芯片设计,,,
605020.SH,永和股份,氟化工,,,
000420.SZ,吉林化纤,粘胶,,,
603297.SH,永新光学,光学元件,,,
688161.SH,威高骨科,医疗耗材,,,
600908.SH,无锡银行,农商行Ⅲ,,,
600116.SH,三峡水利,电能综合服务,,,
002338.SZ,奥普光电,军工电子Ⅲ,,,
600461.SH,洪城环境,水务及水治理,,,
001233.SZ,海安集团,轮胎轮毂,,,
600267.SH,海正药业,化学制剂,,,
600353.SH,旭光电子,其他电子Ⅲ,,,
002891.SZ,中宠股份,宠物食品,,,
600383.SH,金地集团,住宅开发,,,
600775.SH,南京熊猫,通信终端及配件,,,
002588.SZ,史丹利,复合肥,,,
605333.SH,沪光股份,汽车电子电气系统,,,
600376.SH,首开股份,住宅开发,,,
688268.SH,华特气体,电子化学品Ⅲ,,,
001208.SZ,华菱线缆,线缆部件及其他,,,
688059.SH,华锐精密,金属制品,,,
600559.SH,老白干酒,白酒Ⅲ,,,
000923.SZ,河钢资源,铁矿石,,,
600529.SH,山东药玻,医疗耗材,,,
600273.SH,嘉化能源,其他化学制品,,,
600172.SH,黄河旋风,磨具磨料,,,
600552.SH,凯盛科技,面板,,,
603882.SH,金域医学,诊断服务,,,
300322.SZ,硕贝德,消费电子零部件及组装,,,
601003.SH,柳钢股份,板材,,,
301510.SZ,固高科技,工控设备,,,
002705.SZ,新宝股份,厨房小家电,,,
300607.SZ,拓斯达,机器人,,,
600728.SH,佳都科技,IT服务Ⅲ,,,
000403.SZ,派林生物,血液制品,,,
605289.SH,罗曼股份,其他专业工程,,,
301665.SZ,泰禾股份,农药,,,
301087.SZ,可孚医疗,医疗耗材,,,
603693.SH,江苏新能,风力发电,,,
601222.SH,林洋能源,光伏发电,,,
002063.SZ,远光软件,垂直应用软件,,,
688531.SH,日联科技,其他专用设备,,,
300580.SZ,贝斯特,底盘与发动机系统,,,
002572.SZ,索菲亚,定制家居,,,
600590.SH,泰豪科技,军工电子Ⅲ,,,
002368.SZ,太极股份,IT服务Ⅲ,,,
600395.SH,盘江股份,焦煤,,,
601949.SH,中国出版,大众出版,,,
002426.SZ,胜利精密,消费电子零部件及组装,,,
301109.SZ,军信股份,固废治理,,,
605056.SH,咸亨国际,仪器仪表,,,
600446.SH,金证股份,IT服务Ⅲ,,,
300328.SZ,宜安科技,铝,,,
600480.SH,凌云股份,其他汽车零部件,,,
601026.SH,道生天合,合成树脂,,,
002970.SZ,锐明技术,其他计算机设备,,,
600478.SH,科力远,锂电池,,,
300842.SZ,帝科股份,光伏辅材,,,
600686.SH,金龙汽车,商用载客车,,,
301207.SZ,华兰疫苗,疫苗,,,
002488.SZ,金固股份,轮胎轮毂,,,
002258.SZ,利尔化学,农药,,,
601101.SH,昊华能源,动力煤,,,
300769.SZ,德方纳米,电池化学品,,,
603235.SH,天新药业,食品及饲料添加剂,,,
000536.SZ,华映科技,面板,,,
600639.SH,浦东金桥,产业地产,,,
301488.SZ,豪恩汽电,汽车电子电气系统,,,
300353.SZ,东土科技,其他通信设备,,,
002985.SZ,北摩高科,航空装备Ⅲ,,,
300179.SZ,四方达,磨具磨料,,,
600307.SH,酒钢宏兴,板材,,,
002979.SZ,雷赛智能,机器人,,,
301225.SZ,恒勃股份,底盘与发动机系统,,,
002150.SZ,正泰电源,金属制品,,,
600787.SH,中储股份,仓储物流,,,
600058.SH,五矿发展,贸易Ⅲ,,,
603039.SH,泛微网络,横向通用软件,,,
301551.SZ,无线传媒,电视广播Ⅲ,,,
688091.SH,上海谊众,化学制剂,,,
605016.SH,百龙创园,食品及饲料添加剂,,,
601900.SH,南方传媒,教育出版,,,
300363.SZ,博腾股份,医疗研发外包,,,
002654.SZ,万润科技,LED,,,
600996.SH,贵广网络,电视广播Ⅲ,,,
301371.SZ,敷尔佳,品牌化妆品,,,
605318.SH,法狮龙,其他建材,,,
605123.SH,派克新材,航空装备Ⅲ,,,
300461.SZ,田中精机,其他自动化设备,,,
688691.SH,灿芯股份,集成电路制造,,,
300415.SZ,伊之密,其他专用设备,,,
300486.SZ,东杰智能,其他自动化设备,,,
300331.SZ,苏大维格,光学元件,,,
300244.SZ,迪安诊断,诊断服务,,,
601022.SH,宁波远洋,航运,,,
301263.SZ,泰恩康,化学制剂,,,
600866.SH,星湖科技,食品及饲料添加剂,,,
300304.SZ,云意电气,汽车电子电气系统,,,
300101.SZ,振芯科技,军工电子Ⅲ,,,
002169.SZ,智光电气,电网自动化设备,,,
603186.SH,华正新材,印制电路板,,,
600662.SH,外服控股,人力资源服务,,,
301413.SZ,安培龙,仪器仪表,,,
300480.SZ,光力科技,能源及重型设备,,,
600746.SH,江苏索普,煤化工,,,
301522.SZ,上大股份,其他金属新材料,,,
